model,n_params_B,train_dataset,eval_dataset,n_shots,seed,accuracy,f1_macro,parse_rate,intra_cross
Phi-3 3.8B,3.8,sick,fracas-gq,3,42,0.5333333333333333,0.5094017094017094,1.0,Cross
Phi-3 3.8B,3.8,gqnli,fracas-gq,3,42,0.5333333333333333,0.5256410256410257,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,fracas-gq,3,42,0.6,0.7142857142857143,1.0,Intra
Phi-3 3.8B,3.8,daccord,fracas-gq,1,999,0.6666666666666666,0.6282051282051282,1.0,Cross
Phi-3 3.8B,3.8,rte3,fracas-gq,1,999,0.6,0.5714285714285715,1.0,Cross
Phi-3 3.8B,3.8,sick,fracas-gq,1,999,0.6666666666666666,0.6654456654456654,1.0,Cross
Phi-3 3.8B,3.8,gqnli,fracas-gq,1,999,0.6666666666666666,0.6654456654456654,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,fracas-gq,1,999,0.6666666666666666,0.6654456654456654,1.0,Intra
Phi-3 3.8B,3.8,daccord,fracas-gq,1,123,0.6,0.5793650793650794,1.0,Cross
Phi-3 3.8B,3.8,rte3,fracas-gq,1,123,0.6,0.5714285714285715,1.0,Cross
Phi-3 3.8B,3.8,sick,fracas-gq,1,123,0.5333333333333333,0.5051282051282051,1.0,Cross
Phi-3 3.8B,3.8,gqnli,fracas-gq,1,123,0.6666666666666666,0.6654456654456654,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,fracas-gq,1,123,0.5333333333333333,0.4980574980574981,1.0,Intra
Phi-3 3.8B,3.8,daccord,fracas-gq,1,42,0.4666666666666667,0.4374514374514375,1.0,Cross
Phi-3 3.8B,3.8,rte3,fracas-gq,1,42,0.5333333333333333,0.5256410256410257,1.0,Cross
Phi-3 3.8B,3.8,sick,fracas-gq,1,42,0.5333333333333333,0.5051282051282051,1.0,Cross
Phi-3 3.8B,3.8,gqnli,fracas-gq,1,42,0.6,0.5714285714285715,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,fracas-gq,1,42,0.5333333333333333,0.5051282051282051,1.0,Intra
Phi-3 3.8B,3.8,daccord,fracas-gq,0,999,0.3333333333333333,0.2738095238095238,1.0,Cross
Phi-3 3.8B,3.8,rte3,fracas-gq,0,999,0.3333333333333333,0.2738095238095238,1.0,Cross
Phi-3 3.8B,3.8,sick,fracas-gq,0,999,0.3333333333333333,0.2738095238095238,1.0,Cross
Phi-3 3.8B,3.8,gqnli,fracas-gq,0,999,0.3333333333333333,0.2738095238095238,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,fracas-gq,0,999,0.3333333333333333,0.2738095238095238,1.0,Intra
Phi-3 3.8B,3.8,daccord,fracas-gq,0,123,0.3333333333333333,0.2738095238095238,1.0,Cross
Phi-3 3.8B,3.8,rte3,fracas-gq,0,123,0.3333333333333333,0.2738095238095238,1.0,Cross
Phi-3 3.8B,3.8,sick,fracas-gq,0,123,0.3333333333333333,0.2738095238095238,1.0,Cross
Phi-3 3.8B,3.8,gqnli,fracas-gq,0,123,0.3333333333333333,0.2738095238095238,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,fracas-gq,0,123,0.3333333333333333,0.2738095238095238,1.0,Intra
Phi-3 3.8B,3.8,daccord,fracas-gq,0,42,0.3333333333333333,0.2738095238095238,1.0,Cross
Phi-3 3.8B,3.8,rte3,fracas-gq,0,42,0.3333333333333333,0.2738095238095238,1.0,Cross
Phi-3 3.8B,3.8,sick,fracas-gq,0,42,0.3333333333333333,0.2738095238095238,1.0,Cross
Phi-3 3.8B,3.8,gqnli,fracas-gq,0,42,0.3333333333333333,0.2738095238095238,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,fracas-gq,0,42,0.3333333333333333,0.2738095238095238,1.0,Intra
DeepSeek R1 8B,8.0,daccord,fracas-gq,10,123,0.0,0.0,0.0666666666666666,Cross
Qwen 2.5 7B,7.0,sick,rte3,5,123,0.7435897435897436,0.7266484663309157,1.0,Cross
Llama 3 8B,8.0,fracas-gq,rte3,3,123,0.663003663003663,0.5954509005514218,1.0,Cross
Qwen 2.5 7B,7.0,gqnli,rte3,5,123,0.73992673992674,0.7258032558861564,1.0,Cross
Llama 3 8B,8.0,daccord,rte3,3,42,0.608058608058608,0.5340947040664018,1.0,Cross
Qwen 2.5 7B,7.0,fracas-gq,rte3,5,123,0.7472527472527473,0.7309720273287318,1.0,Cross
Llama 3 8B,8.0,rte3,rte3,3,42,0.5860805860805861,0.5363316980059548,1.0,Intra
Qwen 2.5 7B,7.0,daccord,rte3,5,42,0.7509157509157509,0.7368599210425021,1.0,Cross
Llama 3 8B,8.0,sick,rte3,3,42,0.6446886446886447,0.6146284002542338,1.0,Cross
Llama 3 8B,8.0,gqnli,rte3,3,42,0.6593406593406593,0.6419676642586859,1.0,Cross
Qwen 2.5 7B,7.0,rte3,rte3,5,42,0.7289377289377289,0.7117243509143449,1.0,Intra
Qwen 2.5 7B,7.0,sick,rte3,5,42,0.684981684981685,0.667473063829057,1.0,Cross
Llama 3 8B,8.0,fracas-gq,rte3,3,42,0.6117216117216118,0.5320313089029877,1.0,Cross
Qwen 2.5 7B,7.0,gqnli,rte3,5,42,0.706959706959707,0.6979740863236009,1.0,Cross
Llama 3 8B,8.0,daccord,rte3,1,999,0.6007326007326007,0.5184333995075683,1.0,Cross
Qwen 2.5 7B,7.0,fracas-gq,rte3,5,42,0.7289377289377289,0.7203047502173135,1.0,Cross
Llama 3 8B,8.0,rte3,rte3,1,999,0.5970695970695971,0.5170392508937525,1.0,Intra
Qwen 2.5 7B,7.0,daccord,rte3,3,999,0.7142857142857143,0.6793704790268098,1.0,Cross
